Title,Date,Month,Fiscal Year,Library,Primary Event Type,Event Type Option 1,Event Type Option 2,Primary Age Group,Age Group Option 1,Age Group Option 2,Description,Internal Notes,Published Status,Attendance
Homework Help,02/22/2017,Feb,FY 17,Wheaton,Homework,ACE - All Children Excel,,Elementary School Age,,,For students Kindergarten to grade 6. Reading and math help and encouragement from older students.,,Yes,8
Tutoring and Homework Help,02/22/2017,Feb,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,10
Toddler & Preschool Storytime,02/23/2017,Feb,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Join us for stories, fingerplays, songs and movement! Due to space limitations we require registration. Please register for the adult caregiver attending.",,Yes,36
Toddler & Preschool Storytime,02/23/2017,Feb,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Join us for stories, fingerplays, songs and movement! Due to space limitations we require registration. Please register for the adult caregiver attending.",,Yes,37
Construction Crew: DUPLO,02/23/2017,Feb,FY 17,Damascus,Science & Math (STEM),ACE - All Children Excel,Makerspace,Preschool and Kindergarten,Babies and Toddlers,,"Drop in for a morning open session of imaginative construction with DUPLO (ages 2-5), and EDU-BLOCK (ages NB-2). We supply the blocks, so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library, but may be photographed before deconstruction. All children must be accompanied by an adult at all times. Sponsored by Friends of the Library, Damascus Chapter. Drop-in, no pre-registration. FREE. STEM.",,Yes,21
Family Storytime,02/25/2017,Feb,FY 17,Germantown,Storytime,ACE - All Children Excel,,All Ages,,,"A storytime for all ages that includes stories, fingerplays, songs and other early literacy activities. *Storytime will take place in the storytime room on 1/14/17, 2/11/17, 3/11/17, & 4/8/17. Tickets will be required for these dates and will be available the morning of storytime at the Children's Information Desk.",,Yes,89
Toddler Story Time,02/23/2017,Feb,FY 17,Gaithersburg,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Get up and get moving at our Toddler Story Times! These 20-30 minute programs are full of books, songs and fun activities are designed to help develop your child’s language skills. Children ages 18-36 months are encouraged to engage with the stories and activities, and their grownups to participate in the program along with the children. Free tickets available 30 minutes before the program begins. Please park strollers outside the program room. Our room holds 50 people. Floor seating.",,Yes,79
Family Storytime,03/04/2017,Mar,FY 17,Germantown,Storytime,ACE - All Children Excel,,All Ages,,,"A storytime for all ages that includes stories, fingerplays, songs and other early literacy activities. *Storytime will take place in the storytime room on 1/14/17, 2/11/17, 3/11/17, & 4/8/17. Tickets will be required for these dates and will be available the morning of storytime at the Children's Information Desk.",,Yes,114
Toddler Story Time,02/23/2017,Feb,FY 17,Gaithersburg,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Get up and get moving at our Toddler Story Times! These 20-30 minute programs are full of books, songs and fun activities are designed to help develop your child’s language skills. Children ages 18-36 months are encouraged to engage with the stories and activities, and their grownups to participate in the program along with the children. Free tickets available 30 minutes before the program begins. Please park strollers outside the program room. Our room holds 50 people. Floor seating.",,Yes,44
Me and You-kulele Singalong,02/23/2017,Feb,FY 17,Wheaton,Special Event,Storytime,ACE - All Children Excel,Babies and Toddlers,Preschool and Kindergarten,Elementary School Age,"Come Sing, Read, and Rhyme With Us! Stories and music by our ukulele-playing librarian is a fun way to learn about sounds, rhythm, and rhyme and is a natural support for your child's early learning. Appropriate for all ages. Got a Uke? Bring it! We will play and sing some 2 and 3-chord songs!",,Yes,10
Homework Help,02/23/2017,Feb,FY 17,Silver Spring,Homework,ACE - All Children Excel,,Elementary School Age,,,Grades K-8. Drop in Thursday afternoons to receive one on one assistance from local high school students. No advance registration necessary- sign in on arrival at study tables on the fifth floor.,,Yes,4
Tutoring and Homework Help,02/23/2017,Feb,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,14
FAMILY PAJAMA STORYTIME,02/23/2017,Feb,FY 17,Rockville Memorial,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,Elementary School Age,"Wear your pajamas and bring your favorite stuffed animal to this evening storytime for all ages. Stories, songs, and rhymes for the whole family. Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",G,Yes,37
Act It Out!,02/23/2017,Feb,FY 17,Olney,Storytime,ACE - All Children Excel,,Elementary School Age,,,"We will read a story and then the kids will act it out! For kids in first,second and third grades only. For kids only--no parents. You must register online for this event. Limited to 20 participants",,Yes,12
Family Storytime,02/24/2017,Feb,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Come Sing, Read, and Rhyme With Us! This is a fun way to learn about sounds, rhythm, and rhyme and is a natural support for your child's early learning. Appropriate for all ages. NOTE: Held during our CLOSED HOURS to accommodate lots of singing, dancing, and wiggling! Storytime is available on a first come first served basis. Please be on time -- Noyes is a small one-room library and WE MUST CLOSE OUR DOORS IF WE REACH CAPACITY.",,Yes,31
MC Infants & Toddlers Bilingual Storytime,02/24/2017,Feb,FY 17,Gaithersburg,Z_Visits In,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,open bilingual storytime hosted in the library by MC Infants & Toddlers,,No,18
Lego Construction Crew,02/24/2017,Feb,FY 17,Olney,Science & Math (STEM),ACE - All Children Excel,,Elementary School Age,,,"Drop in every Friday afternoon between 3:30 and 5 and create with Legos! Parent/caregiver must accompany child. For ages 5 and up. We'll supply the Legos, you supply the imagination!STEM program",,Yes,24
LEGO and DUPLO Playtime,02/24/2017,Feb,FY 17,Twinbrook,Makerspace,ACE - All Children Excel,Science & Math (STEM),Elementary School Age,Preschool and Kindergarten,,Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home -- just bring your imagination and start building! YOur creations must be left at the library but may be photographied before you leave. For children ages 3 to 12. Free. No registration. All children must be accompanied by an adult at all times. For more information call 240-777-0240.,,Yes,3
LEGO Crew,02/24/2017,Feb,FY 17,Gaithersburg,Science & Math (STEM),ACE - All Children Excel,Makerspace,Elementary School Age,Preschool and Kindergarten,,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,Yes,20
Tutoring and Homework Help,02/25/2017,Feb,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. Two separate sessions: Session 1: 10:30 - 12:00 PM Session 2: 12:00 - 1:30 PM To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,
BABY STORYTIME,02/25/2017,Feb,FY 17,Rockville Memorial,ACE - All Children Excel,Storytime,,Babies and Toddlers,,,"Storytime for babies and their parents or caregivers. Stories, songs and rhymes for the just born to just walking (0-24 month olds). Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",G,Yes,80
Tutoring and Homework Help,02/25/2017,Feb,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Lego Weekend Play,02/25/2017,Feb,FY 17,Silver Spring,Science & Math (STEM),ACE - All Children Excel,,Preschool and Kindergarten,Elementary School Age,,"Children are invited to drop in for to build, create, and play with our DUPLOS (little ones) and LEGOS. We supply the blocks, so please leave yours at home. Your creations must be left at the library but, may be photographed before deconstruction. All children must be accompanied by an adult at all times. This STEM program is made possible through the generous support of the Silver Spring Friends of the Library. 5th Floor Program Room, Saturday 12:30-5:30 pm and Sunday 1-4:30 pm Look for extended play time during our Summer hours!",,Yes,
Sidwell Friends Fourth Grade Visit,02/27/2017,Feb,FY 17,Bethesda,Z_Visits In,ACE - All Children Excel,,Elementary School Age,,,"Fourth graders from Sidwell Friends visited as part of their ""literary justice"" curriculum. Librarians discussed library resources, read a story, and took students on a tour of the children's section.",,No,26
Shomari Nursery School Visit,02/27/2017,Feb,FY 17,White Oak,Z_Visits In,Storytime,,Preschool and Kindergarten,,,A mini storytime was presented along with the types of materials you can get at the library. A short tour of the children's room was given with time to pick out books.,,Yes,21
Baby/Toddler Storytime,02/27/2017,Feb,FY 17,Olney,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, stretches and songs for babies/toddlers (0-2 years) with parent or caregiver.",,Yes,50
PRESCHOOL STORYTIME,02/27/2017,Feb,FY 17,Long Branch,Storytime,ACE - All Children Excel,Science & Math (STEM),Babies and Toddlers,Preschool and Kindergarten,,"Get up and get moving at storytime! These programs are full of a diverse collection of books, songs and fun activities. They are designed to introduce your child to the culture of reading and help develop your child's language skills. Children are encouraged to engage with the stories and activities and their grownups to participate in the program along with the children. 0-5 years are welcome.",,Yes,0
Homework Help,02/27/2017,Feb,FY 17,Wheaton,Homework,ACE - All Children Excel,,Elementary School Age,,,For students Kindergarten to grade 6. Reading and math help and encouragement from older students.,,Yes,10
Tutoring and Homework Help,02/27/2017,Feb,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,11
Baby Storytime,02/28/2017,Feb,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This storytime is recommended for newborns to 18-month-olds. Join us as we learn and sing songs, lap bounces and other rhymes, and read one or two short books. Due to the popularity of this storytime we require registration. Please register for the adult caregiver attending.",,Yes,36
Time for Twos,02/28/2017,Feb,FY 17,Germantown,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"A special storytime for ages 24-35 months that includes stories, fingerplays, songs and other early literacy activities.",,Yes,90
Baby Storytime,02/28/2017,Feb,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This storytime is recommended for newborns to 18-month-olds. Join us as we learn and sing songs, lap bounces and other rhymes, and read one or two short books. Due to the popularity of this storytime we require registration. Please register for the adult caregiver attending.",,Yes,45
Bilingual Storytime with Lupe Marks (Spanish/English),02/28/2017,Feb,FY 17,Chevy Chase,Bilingual,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Please join us for a bilingual (Spanish/English) storytime just right for toddlers and preschoolers. No registration needed. This program is made possible through the generous support of the Friends of the Library, Chevy Chase Chapter.",,Yes,84
Stepping Stones Story Time,02/28/2017,Feb,FY 17,Damascus,Storytime,ACE - All Children Excel,Z_For VS use only,Preschool and Kindergarten,Babies and Toddlers,,For children ages newborn to 5. Each session begins with simple rhymes and activities for the youngest children; transitions are built-in so younger children can leave as stories and activities become more complex for the older preschoolers. Adults must accompany children age 2 and under; children ages 3-5 may attend with an adult or independently. Drop-in; no registration. Call 240-773-9444 for more information.,,Yes,50
PRESCHOOL STORYTIME,02/28/2017,Feb,FY 17,Rockville Memorial,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Preschool Storytime is for children ages 3 1/2 to 6 years old, with a parent or caregiver. Join us for stories, songs, stretches and rhymes. Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,Yes,70
Read to a Dog,03/13/2017,Mar,FY 17,Bethesda,Special Event,ACE - All Children Excel,,Elementary School Age,,,"School-age children, especially beginners learning to read and those who want to improve their confidence in reading skills, are invited to practice reading aloud in short (10-15 minute) semi-private sessions with certified therapy dogs. First come, first served. No registration required.",,Yes,42
Toddler Storytime (18-36 months),02/28/2017,Feb,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"**NOTE** We will be handing out tickets 30 minutes before storytime- starting at 10 o'clock, first come first served. Get up and get moving at storytime! These 20-30 minute programs are full of a diverse collection of books, songs and fun activities. They are designed to introduce your child to the culture of reading and help develop your child’s language skills. Children are encouraged to engage with the stories and activities, and their grownups to participate in the program along with the children. Fifth floor program room.",,Yes,
Baby Storytime (0-18 months),02/28/2017,Feb,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"***NOTE*** We will be handing out tickets 30 minutes before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. A storytime experience for our youngest library users and their caregivers. These 20-30 minute storytimes introduce a diverse collection of books, songs, rhymes and bounces developmentally appropriate for children from birth to when they start walking. This is a wonderful way to introduce your child to the joys and culture of reading in a positive and fun atmosphere. This story time is designed so the baby will be in their caregiver’s lap and the grownup is actively involved in the program. Fifth floor program room.",,Yes,
Tutoring and Homework Help,02/28/2017,Feb,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,11
Bedtime Stories with Your Teddy Bear,02/28/2017,Feb,FY 17,Twinbrook,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Bring your favorite stuffed animal for bedtime stories, songs, and rhymes. Children must be accompanied by an adult. Recommended for ages 3 and up. Call 240-777-0240 for more information.",,Yes,10
Toddler Time,03/01/2017,Mar,FY 17,Germantown,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, songs and other early literacy activities for ages 12 to 23 months.",,Yes,44
Baby Lap Time,03/01/2017,Mar,FY 17,Gaithersburg,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"A story time experience for our youngest library users and their caregivers. These 20-30 minutes story times introduce books, songs, rhymes, tickles, and bounces developmentally appropriate for children from birth to when they start walking. Baby Lap Time is a wonderful way to introduce your child to the joys of reading in a positive and fun atmosphere. This story time is designed so the baby will be in their caregiver’s lap and the grownup is actively involved in the program; it is recommended that each child have their own adult with them. Free tickets available 30 minutes before the program begins. Please park strollers outside the program room. Our room holds 50 people. Floor seating.",,Yes,59
Preschool Storytime,03/01/2017,Mar,FY 17,Olney,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Stories, rhymes, songs and fun for children ages 2 1/2 to 5.",,Yes,62
Toddler Storytime (18-36 months),03/01/2017,Mar,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"**NOTE** We will be handing out tickets 30 minutes before storytime- starting at 10 o'clock, first come first served. Get up and get moving at storytime! These 20-30 minute programs are full of a diverse collection of books, songs and fun activities. They are designed to introduce your child to the culture of reading and help develop your child’s language skills. Children are encouraged to engage with the stories and activities, and their grownups to participate in the program along with the children. Fifth floor program room.",,Yes,
Baby Lap Time,03/01/2017,Mar,FY 17,Gaithersburg,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"A story time experience for our youngest library users and their caregivers. These 20-30 minutes story times introduce books, songs, rhymes, tickles, and bounces developmentally appropriate for children from birth to when they start walking. Baby Lap Time is a wonderful way to introduce your child to the joys of reading in a positive and fun atmosphere. This story time is designed so the baby will be in their caregiver’s lap and the grownup is actively involved in the program; it is recommended that each child have their own adult with them. Free tickets available 30 minutes before the program begins. Please park strollers outside the program room. Our room holds 50 people. Floor seating.",,Yes,27
Baby Storytime (0-18 months),03/01/2017,Mar,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"***NOTE*** We will be handing out tickets 30 minutes before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. A storytime experience for our youngest library users and their caregivers. These 20-30 minute storytimes introduce a diverse collection of books, songs, rhymes and bounces developmentally appropriate for children from birth to when they start walking. This is a wonderful way to introduce your child to the joys and culture of reading in a positive and fun atmosphere. This story time is designed so the baby will be in their caregiver’s lap and the grownup is actively involved in the program. Fifth floor program room.",,Yes,
Stepping Stones Story Time,03/01/2017,Mar,FY 17,Damascus,Storytime,ACE - All Children Excel,Z_For VS use only,Preschool and Kindergarten,Babies and Toddlers,,For children ages newborn to 5. Each session begins with simple rhymes and activities for the youngest children; transitions are built-in so younger children can leave as stories and activities become more complex for the older preschoolers. Adults must accompany children age 2 and under; children ages 3-5 may attend with an adult or independently. Drop-in; no registration. Call 240-773-9444 for more information.,,Yes,32
Homework Help,03/01/2017,Mar,FY 17,Wheaton,Homework,ACE - All Children Excel,,Elementary School Age,,,For students Kindergarten to grade 6. Reading and math help and encouragement from older students.,,Yes,4
Tutoring and Homework Help,03/04/2017,Mar,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Tutoring and Homework Help,03/01/2017,Mar,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,23
Toddler & Preschool Storytime,03/02/2017,Mar,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Join us for stories, fingerplays, songs and movement! Due to space limitations we require registration. Please register for the adult caregiver attending.",,Yes,59
Toddler & Preschool Storytime,03/02/2017,Mar,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Join us for stories, fingerplays, songs and movement! Due to space limitations we require registration. Please register for the adult caregiver attending.",,Yes,66
Construction Crew: DUPLO,03/02/2017,Mar,FY 17,Damascus,Science & Math (STEM),ACE - All Children Excel,Makerspace,Preschool and Kindergarten,Babies and Toddlers,,"Drop in for a morning open session of imaginative construction with DUPLO (ages 2-5), and EDU-BLOCK (ages NB-2). We supply the blocks, so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library, but may be photographed before deconstruction. All children must be accompanied by an adult at all times. Sponsored by Friends of the Library, Damascus Chapter. Drop-in, no pre-registration. FREE. STEM.",,Yes,8
Me and You-kulele Singalong,03/02/2017,Mar,FY 17,Wheaton,Special Event,Storytime,ACE - All Children Excel,Babies and Toddlers,Preschool and Kindergarten,Elementary School Age,"Come Sing, Read, and Rhyme With Us! Stories and music by our ukulele-playing librarian is a fun way to learn about sounds, rhythm, and rhyme and is a natural support for your child's early learning. Appropriate for all ages. Got a Uke? Bring it! We will play and sing some 2 and 3-chord songs!",,Yes,8
Homework Help,03/02/2017,Mar,FY 17,Silver Spring,Homework,ACE - All Children Excel,,Elementary School Age,,,Grades K-8. Drop in Thursday afternoons to receive one on one assistance from local high school students. No advance registration necessary- sign in on arrival at study tables on the fifth floor.,,Yes,4
MC Infants & Toddlers Bilingual Storytime,03/03/2017,Mar,FY 17,Gaithersburg,Z_Visits In,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,open bilingual storytime hosted in the library by MC Infants & Toddlers,,No,18
Born To Read,03/03/2017,Mar,FY 17,Bethesda,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, songs, chants, and other early literacy activities for babies 0 to 23 months with an adult. Free tickets will be handed out 30 minutes prior to the program. Space is limited.",,Yes,122
Born To Read,03/03/2017,Mar,FY 17,Bethesda,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, songs, chants and other early literacy activities for babies 0 to 23 months with an adult. Free tickets will be handed out 30 minutes prior to the program. Space is limited.",,Yes,23
LEGO and DUPLO Playtime,03/03/2017,Mar,FY 17,Twinbrook,Makerspace,ACE - All Children Excel,Science & Math (STEM),Elementary School Age,Preschool and Kindergarten,,Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home -- just bring your imagination and start building! YOur creations must be left at the library but may be photographied before you leave. For children ages 3 to 12. Free. No registration. All children must be accompanied by an adult at all times. For more information call 240-777-0240.,,Yes,5
LEGO Crew,03/03/2017,Mar,FY 17,Gaithersburg,Science & Math (STEM),ACE - All Children Excel,Makerspace,Elementary School Age,Preschool and Kindergarten,,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,Yes,36
Tutoring and Homework Help,03/04/2017,Mar,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. Two separate sessions: Session 1: 10:30 - 12:00 PM Session 2: 12:00 - 1:30 PM To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,
Toddler & Preschool Storytime,03/16/2017,Mar,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Join us for stories, fingerplays, songs and movement! Due to space limitations we require registration. Please register for the adult caregiver attending.",,Yes,44
FAMILY STORYTIME,03/04/2017,Mar,FY 17,Rockville Memorial,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,Babies and Toddlers,,"Stories, songs, and rhymes for the whole family. For all ages. Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,Yes,76
Fun with Food: A STEAM Event,03/04/2017,Mar,FY 17,Twinbrook,Science & Math (STEM),ACE - All Children Excel,Special Event,Elementary School Age,Preschool and Kindergarten,,"Learn a multitude of fun ways to manipulate a potato that don’t involve eating it. From potato art to potatoes as a battery, you’ll play mad scientist all morning long! This is a free STEM/STEAM program presented by the YMCA. Space is limited and preregistration is required.To register, call 240-777-0240, or talk to a librarian at the Twinbrook Library Information Desk. Or, you can register online by going to www.montgomerycountymd.gov/library and clicking on the Calendar of Events. For ages 3 — 10.",,Yes,45
Lego Weekend Play,03/04/2017,Mar,FY 17,Silver Spring,Science & Math (STEM),ACE - All Children Excel,,Preschool and Kindergarten,Elementary School Age,,"Children are invited to drop in for to build, create, and play with our DUPLOS (little ones) and LEGOS. We supply the blocks, so please leave yours at home. Your creations must be left at the library but, may be photographed before deconstruction. All children must be accompanied by an adult at all times. This STEM program is made possible through the generous support of the Silver Spring Friends of the Library. 5th Floor Program Room, Saturday 12:30-5:30 pm and Sunday 1-4:30 pm Look for extended play time during our Summer hours!",,Yes,
Sunday Chess Club,03/05/2017,Mar,FY 17,Gaithersburg,Games,ACE - All Children Excel,Science & Math (STEM),Teens,Elementary School Age,,Learn to play chess or work on your skills at our monthly chess club. Open to ages 6-18. Register online at sundaychessclub.weebly.com.,,Yes,28
Baby/Toddler Storytime,03/06/2017,Mar,FY 17,Olney,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, stretches and songs for babies/toddlers (0-2 years) with parent or caregiver.",,Yes,59
PRESCHOOL STORYTIME,03/06/2017,Mar,FY 17,Long Branch,Storytime,ACE - All Children Excel,Science & Math (STEM),Babies and Toddlers,Preschool and Kindergarten,,"Get up and get moving at storytime! These programs are full of a diverse collection of books, songs and fun activities. They are designed to introduce your child to the culture of reading and help develop your child's language skills. Children are encouraged to engage with the stories and activities and their grownups to participate in the program along with the children. 0-5 years are welcome.",,Yes,4
Homework Help,03/06/2017,Mar,FY 17,Wheaton,Homework,ACE - All Children Excel,,Elementary School Age,,,For students Kindergarten to grade 6. Reading and math help and encouragement from older students.,,Yes,4
Tutoring and Homework Help,03/06/2017,Mar,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,17
Stepping Stones Story Time,03/07/2017,Mar,FY 17,Damascus,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,Babies and Toddlers,,For children ages newborn to 5. Each session begins with simple rhymes and activities for the youngest children; transitions are built-in so younger children can leave as stories and activities become more complex for the older preschoolers. Adults must accompany children age 2 and under; children ages 3-5 may attend with an adult or independently. Drop-in; no registration. Call 240-773-9444 for more information.,,Yes,65
SPECIAL POP-UP PLAYDATE,03/07/2017,Mar,FY 17,Rockville Memorial,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Today, instead of Little Baby Storytime we're having a special Pop-Up Playdate! Babies, toddlers and preschoolers (with a parent or caregiver) are welcome to join us for some free playtime with the library's toy collection. Children explore, play and make friends, and parents connect with each other. Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,Yes,40
Toddler Storytime (18-36 months),03/07/2017,Mar,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"**NOTE** We will be handing out tickets 30 minutes before storytime- starting at 10 o'clock, first come first served. Get up and get moving at storytime! These 20-30 minute programs are full of a diverse collection of books, songs and fun activities. They are designed to introduce your child to the culture of reading and help develop your child’s language skills. Children are encouraged to engage with the stories and activities, and their grownups to participate in the program along with the children. Fifth floor program room.",,Yes,
